uid,tid,ft,y
0,0,6,2.0273557
0,1,6,2.164867
0,2,6,1.9363341
0,3,6,1.9195671
0,4,6,1.7498412
0,5,6,2.1304405
0,6,6,2.0796523
0,7,6,2.1456904
0,8,6,2.0435977
0,9,6,1.9386841
0,10,6,1.7479398
1,0,6,1.4915183
1,1,6,1.8462465
1,2,6,1.6651237
1,3,6,1.8232787
1,4,6,1.7609477
1,5,6,1.6067477
1,6,6,1.6813323
1,7,6,1.8720165
1,8,6,1.3770998
1,9,6,1.1695099
1,10,6,1.4879156
2,0,6,1.9671516
2,1,6,2.0407066
2,2,6,1.9793757
2,3,6,2.087027
2,4,6,1.9944618
2,5,6,2.0324998
2,6,6,2.1436143
2,7,6,2.1887076
2,8,6,1.9680102
2,9,6,1.7930975
2,10,6,1.8633447
3,0,,1.8660628
3,1,,1.7321641
3,2,,1.6844164
3,3,,1.9157888
3,4,,1.8836236
3,5,,1.9453803
3,6,,2.0157783
3,7,,1.9691905
3,8,,1.756988
3,9,,1.8416507
3,10,,1.5607613
4,0,,1.8389783
4,1,,1.8794022
4,2,,1.9436159
4,3,,1.9382337
4,4,,1.9203752
4,5,,1.9593788
4,6,,1.9213043
4,7,,1.8296967
4,8,,1.7718333
4,9,,1.6921659
4,10,,1.5877932
5,0,,1.1605736
5,1,,1.2979765
5,2,,1.402365
5,3,,1.4253404
5,4,,1.4969511
5,5,,1.332892
5,6,,1.2802231
5,7,,1.1790891
5,8,,1.1694129
5,9,,1.1887412
5,10,,0.88141984
6,0,,1.0891795
6,1,,1.152275
6,2,,0.9191684
6,3,,1.2006328
6,4,,1.0819076
6,5,,1.1291449
6,6,,1.3632598
6,7,,1.173512
6,8,,1.3294542
6,9,,1.1096674
6,10,,1.2947714
7,0,,1.1920218
7,1,,1.092224
7,2,,1.2011294
7,3,,0.9745077
7,4,,1.2460096
7,5,,1.5085084
7,6,,1.5935224
7,7,,1.520337
7,8,,1.8891935
7,9,,1.5573639
7,10,,1.6831394
8,0,5,1.7562876
8,1,5,1.697463
8,2,5,1.7196488
8,3,5,1.7156318
8,4,5,1.7170218
8,5,5,1.6252755
8,6,5,1.8311493
8,7,5,1.8979564
8,8,5,1.8608692
8,9,5,1.7193747
8,10,5,1.66493
9,0,6,2.1024218
9,1,6,1.9929868
9,2,6,1.9848815
9,3,6,2.0523295
9,4,6,1.9661723
9,5,6,1.8553178
9,6,6,1.8805436
9,7,6,2.058431
9,8,6,1.9221219
9,9,6,1.7849628
9,10,6,1.7586826
10,0,,1.0908525
10,1,,0.99036205
10,2,,0.68605816
10,3,,0.58806264
10,4,,0.9893438
10,5,,0.66184396
10,6,,0.49079114
10,7,,0.6313202
10,8,,0.7084381
10,9,,0.5858608
10,10,,0.57720435
11,0,,0.23694378
11,1,,0.8443639
11,2,,1.01219
11,3,,0.66795564
11,4,,0.82380563
11,5,,0.91941416
11,6,,0.780296
11,7,,1.2087058
11,8,,0.43164414
11,9,,0.47496724
11,10,,0.3014887
12,0,,2.004585
12,1,,2.0888155
12,2,,2.0574965
12,3,,1.9823071
12,4,,1.8397771
12,5,,1.8228601
12,6,,1.8047692
12,7,,1.7720312
12,8,,1.8177385
12,9,,1.799418
12,10,,1.7079242
13,0,6,1.7856988
13,1,6,1.9397343
13,2,6,1.8004912
13,3,6,1.7257981
13,4,6,1.6516238
13,5,6,1.7651441
13,6,6,1.7463658
13,7,6,1.7258945
13,8,6,1.6257827
13,9,6,1.59315
13,10,6,1.5088098
14,0,,0.48855552
14,1,,0.573071
14,2,,0.44048294
14,3,,0.5656804
14,4,,0.43387687
14,5,,0.33458462
14,6,,0.6478435
14,7,,0.29703704
14,8,,0.9478246
14,9,,0.24345373
14,10,,0.2513706
15,0,6,1.8693175
15,1,6,1.2588438
15,2,6,1.0855738
15,3,6,1.5542881
15,4,6,1.5255737
15,5,6,1.3332263
15,6,6,1.5248959
15,7,6,1.3743197
15,8,6,1.4028559
15,9,6,1.5040568
15,10,6,1.2611367
16,0,6,1.5922382
16,1,6,1.5220182
16,2,6,1.5688833
16,3,6,1.5088589
16,4,6,1.767199
16,5,6,1.5435928
16,6,6,1.437035
16,7,6,1.6454816
16,8,6,1.5622995
16,9,6,1.4649612
16,10,6,1.4657922
17,0,6,2.559089
17,1,6,2.4485838
17,2,6,2.6129756
17,3,6,2.5945523
17,4,6,2.5727932
17,5,6,2.327391
17,6,6,2.5731504
17,7,6,2.6759129
17,8,6,2.522365
17,9,6,2.484178
17,10,6,2.4298644
18,0,,0.19034488
18,1,,0.4173153
18,2,,0.10572013
18,3,,0.23051284
18,4,,0.34192318
18,5,,0.39212835
18,6,,0.5540857
18,7,,0.41947782
18,8,,0.85751295
18,9,,0.68062586
18,10,,0.59087497
19,0,,2.1197927
19,1,,2.141205
19,2,,2.265843
19,3,,2.279525
19,4,,2.2627244
19,5,,2.3132727
19,6,,2.2744627
19,7,,2.2921982
19,8,,2.1719038
19,9,,2.0547636
19,10,,2.0148253
20,0,,0.71287966
20,1,,0.8422953
20,2,,1.0244526
20,3,,0.8114847
20,4,,1.0143008
20,5,,1.0574175
20,6,,1.0717643
20,7,,1.0716764
20,8,,0.9482681
20,9,,0.9771864
20,10,,1.1704749
21,0,6,1.9322537
21,1,6,1.931419
21,2,6,1.9344658
21,3,6,1.8291315
21,4,6,1.8751842
21,5,6,1.852494
21,6,6,1.9687202
21,7,6,1.882246
21,8,6,1.7074353
21,9,6,1.8254632
21,10,6,1.7443621
22,0,,1.1495022
22,1,,0.9003746
22,2,,0.83029675
22,3,,0.948378
22,4,,0.8236494
22,5,,0.83494157
22,6,,0.8992902
22,7,,0.8109712
22,8,,0.743579
22,9,,0.35501978
22,10,,0.59791255
23,0,6,2.2273524
23,1,6,2.3231585
23,2,6,2.2526314
23,3,6,2.2602386
23,4,6,2.0909514
23,5,6,2.0251813
23,6,6,2.0758135
23,7,6,1.9487168
23,8,6,2.0815668
23,9,6,1.8929226
23,10,6,1.9501445
24,0,7,1.85422
24,1,7,1.9174697
24,2,7,1.7937015
24,3,7,1.6527946
24,4,7,1.8464279
24,5,7,1.9654183
24,6,7,1.8457227
24,7,7,1.8389635
24,8,7,2.0493162
24,9,7,1.8801448
24,10,7,1.9525299
25,0,9,0.82390183
25,1,9,1.3520191
25,2,9,0.5926381
25,3,9,1.2123444
25,4,9,1.2018628
25,5,9,0.6813822
25,6,9,1.2807353
25,7,9,0.88756067
25,8,9,1.2384012
25,9,9,1.2078794
25,10,9,0.9718817
26,0,,1.333464
26,1,,0.95036596
26,2,,1.0510263
26,3,,1.1994231
26,4,,0.85771936
26,5,,0.9468811
26,6,,1.0976707
26,7,,1.3782519
26,8,,1.3600358
26,9,,0.8388082
26,10,,1.0913255
27,0,,1.8819478
27,1,,2.1616688
27,2,,2.1352024
27,3,,2.1887245
27,4,,2.0114799
27,5,,2.1576526
27,6,,2.2034492
27,7,,2.0482574
27,8,,1.8687446
27,9,,1.8128406
27,10,,1.7738272
28,0,,0.60593003
28,1,,0.32880148
28,2,,-0.031916067
28,3,,0.30622792
28,4,,0.29795423
28,5,,0.40088144
28,6,,-0.011392572
28,7,,-0.08789945
28,8,,0.06469245
28,9,,-0.17884505
28,10,,-0.012426315
29,0,,1.2573286
29,1,,1.3995246
29,2,,1.3957362
29,3,,1.570303
29,4,,1.5282232
29,5,,1.5879173
29,6,,1.5880568
29,7,,1.4803668
29,8,,1.4684432
29,9,,1.3049833
29,10,,1.4438659
30,0,,2.0245388
30,1,,1.7087433
30,2,,2.1231635
30,3,,1.8421764
30,4,,2.205213
30,5,,2.032134
30,6,,1.9544835
30,7,,2.2590072
30,8,,2.0339706
30,9,,2.310261
30,10,,1.9413717
31,0,,1.643847
31,1,,1.6501856
31,2,,1.5881294
31,3,,1.6137015
31,4,,1.5625062
31,5,,1.5443664
31,6,,1.5657016
31,7,,1.4279068
31,8,,1.4592829
31,9,,1.391486
31,10,,1.5009911
32,0,,1.9718138
32,1,,1.851024
32,2,,1.9162961
32,3,,1.8263623
32,4,,1.8614205
32,5,,1.9394815
32,6,,1.8078319
32,7,,1.8880756
32,8,,1.9013771
32,9,,1.6874874
32,10,,1.6178561
33,0,7,-0.43594417
33,1,7,0.13632226
33,2,7,-0.19925244
33,3,7,0.39018902
33,4,7,0.27165946
33,5,7,0.6772
33,6,7,0.22962229
33,7,7,0.7863455
33,8,7,-0.24469057
33,9,7,0.6290384
33,10,7,0.40694466
34,0,8,1.3301022
34,1,8,1.4064639
34,2,8,1.5537809
34,3,8,1.5526478
34,4,8,1.5121714
34,5,8,1.6655953
34,6,8,1.5466979
34,7,8,1.5292437
34,8,8,1.5690676
34,9,8,1.5212379
34,10,8,1.4181559
35,0,6,1.6959662
35,1,6,1.7095091
35,2,6,1.5734329
35,3,6,1.802459
35,4,6,1.6958038
35,5,6,1.6949445
35,6,6,1.7598103
35,7,6,1.830082
35,8,6,1.7713466
35,9,6,1.8690081
35,10,6,1.6577432
36,0,,0.73876995
36,1,,0.90582275
36,2,,0.737403
36,3,,0.66921896
36,4,,0.9405381
36,5,,0.8096504
36,6,,0.8662141
36,7,,0.6959896
36,8,,0.82217807
36,9,,0.85903895
36,10,,0.8718449
37,0,,1.6255342
37,1,,1.7032735
37,2,,1.6572351
37,3,,1.6913738
37,4,,1.6929965
37,5,,1.8422889
37,6,,1.7951869
37,7,,1.7795116
37,8,,1.7392377
37,9,,1.6686417
37,10,,1.6464205
38,0,,1.4946193
38,1,,1.3410739
38,2,,1.3806887
38,3,,0.8797698
38,4,,0.91917765
38,5,,1.1916355
38,6,,0.92782927
38,7,,0.58163875
38,8,,1.0785193
38,9,,1.1073557
38,10,,1.0122645
39,0,6,2.015683
39,1,6,2.1283817
39,2,6,2.015264
39,3,6,2.0227175
39,4,6,1.9522637
39,5,6,2.0324216
39,6,6,2.1282732
39,7,6,2.1287858
39,8,6,1.9419367
39,9,6,1.932296
39,10,6,1.809402
40,0,6,-0.037056267
40,1,6,-0.039176732
40,2,6,0.4073355
40,3,6,0.30741003
40,4,6,0.8297354
40,5,6,0.8807721
40,6,6,1.3107148
40,7,6,1.3693535
40,8,6,1.5367942
40,9,6,1.3261241
40,10,6,1.0466433
41,0,7,2.0013363
41,1,7,2.0234468
41,2,7,2.0069497
41,3,7,1.9402487
41,4,7,1.8262328
41,5,7,2.003841
41,6,7,1.9394639
41,7,7,1.8973429
41,8,7,1.9029453
41,9,7,2.0279765
41,10,7,1.7340556
42,0,7,1.8085042
42,1,7,1.8586098
42,2,7,1.81434
42,3,7,1.8869598
42,4,7,1.8285499
42,5,7,1.8433821
42,6,7,1.7742605
42,7,7,1.8037177
42,8,7,1.7483649
42,9,7,1.7198638
42,10,7,1.6171008
43,0,,0.6734864
43,1,,1.1004221
43,2,,0.72520405
43,3,,0.9547046
43,4,,0.6718657
43,5,,0.83596647
43,6,,0.7125405
43,7,,0.82847154
43,8,,0.4066533
43,9,,0.38573185
43,10,,0.6667169
44,0,,0.42555386
44,1,,0.16703165
44,2,,0.7801708
44,3,,0.91904116
44,4,,0.9797765
44,5,,0.28387263
44,6,,0.80822456
44,7,,0.7394506
44,8,,1.0074744
44,9,,0.2542247
44,10,,0.11336711
45,0,,1.7675487
45,1,,1.6549245
45,2,,1.7035154
45,3,,1.7607137
45,4,,1.6862195
45,5,,1.8319528
45,6,,1.6625764
45,7,,1.6927352
45,8,,1.5698615
45,9,,1.5668795
45,10,,1.537808
46,0,,1.2249846
46,1,,1.1184769
46,2,,1.1322747
46,3,,1.1113269
46,4,,1.1422263
46,5,,1.2045684
46,6,,1.1249774
46,7,,1.0046525
46,8,,1.0955471
46,9,,1.0779191
46,10,,0.8254684
47,0,8,0.9577941
47,1,8,0.8216927
47,2,8,1.1762348
47,3,8,1.4190463
47,4,8,1.3457154
47,5,8,1.5321664
47,6,8,1.5061387
47,7,8,1.2944132
47,8,8,1.3085829
47,9,8,1.5341301
47,10,8,1.210796
48,0,,1.1771721
48,1,,1.2974609
48,2,,1.0693805
48,3,,1.2361394
48,4,,1.0571437
48,5,,1.3433927
48,6,,1.0883908
48,7,,1.1946696
48,8,,0.9585312
48,9,,0.95835847
48,10,,1.0061625
49,0,,0.91691804
49,1,,0.6279173
49,2,,1.1294159
49,3,,1.0552635
49,4,,0.80350196
49,5,,1.0392133
49,6,,0.92594486
49,7,,1.4073837
49,8,,0.8308147
49,9,,0.74167114
49,10,,0.36242896
